Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,12937432,"Biased Individuals","2024-11-25 02:53:16",0.38955,12,"aamidmohsin,bhagatinderlongia,tonyhli"
2,12931869,GGbond,"2024-11-25 00:57:37",0.39006,20,"haosuwang35,xiaoyuwei0127,xinyaozhang311"
3,12953298,Ziza,"2024-11-21 19:25:59",0.39101,10,"rebeccaluu,rozalind011,yawenzuo"
4,12930539,CTRL!,"2024-11-25 03:53:57",0.39195,12,"frank1747,tttriste,xinjinniu"
5,12930183,ZZ,"2024-11-25 03:56:03",0.39467,10,zoyazaman
6,12926680,"Coca Cola","2024-11-25 03:06:48",0.39556,12,"chiehanchangsta314,richiehsieh,yutakondo343"
7,12956514,weixia24,"2024-11-25 00:58:00",0.39581,2,"feiyangxue1,weixia24,xiangli221"
8,12926650,Rocket,"2024-11-25 00:13:57",0.39645,21,bangchengwang2024
9,12931695,MantramSharma,"2024-11-22 05:21:53",0.40266,10,mantramsharma
10,12984450,WYD,"2024-11-25 00:24:05",0.40450,4,"borunyang,jiajidai,wensongwei"
11,12926821,"Δ Γ Θ ρ ν","2024-11-20 23:30:16",0.40570,16,minhthaiduong
12,12931728,"Raini Sun","2024-11-22 16:43:11",0.40574,3,rainisun
13,12926639,coders,"2024-11-25 03:59:17",0.40590,16,"habeepark,harisaljic,sohaibsajid1"
14,12941991,Tiresias,"2024-11-24 21:57:02",0.40606,19,"danielseq3,mchn000"
15,12975867,"we cr sta314","2024-11-23 23:49:09",0.40654,3,"bi8bo8,lanxuanmwei,meixianliu"
16,12932359,YMNB,"2024-11-23 03:13:13",0.40846,10,zouyimin
17,12926959,DataBender,"2024-11-25 02:48:33",0.40972,10,mrzhd1
18,12983620,"hello world","2024-11-23 21:16:04",0.40986,3,steven255
19,12944295,king-nn,"2024-11-22 04:28:52",0.41003,4,"yihanwang9,yufanguu,zed701"
20,12952533,ZW,"2024-11-24 01:44:12",0.41094,11,"pengzhouzhu,wangzhanbo"
